instruction,model_output,parsed_title,title_in_dataset,satisfied_by_returned,dataset_has_any_matching,hallucinated,constraints,claims,mentioned_ingredients
Recommend a quick recipe that takes less than 35 minutes.,"Pumpkin Pancakes - Takes 25 minutes, 170.0 calories, serves 4.",Pumpkin Pancakes,True,True,True,False,{'duration_max': 35.0},"{'calories': 170.0, 'duration': 25.0, 'serves': 4}",[]
Find a high-protein recipe with at least 28g protein.,"Korean Beef Short Ribs - 32.2g protein, 460.3 calories, 22.0g fat, 0.2g carbs.",Korean Beef Short Ribs,True,True,True,False,{'protein_min': 28.0},"{'calories': 460.3, 'protein': 32.2, 'total_fat': 22.0, 'carbs': 0.2}",[]
Suggest a balanced meal with moderate calories and good protein.,"Raspberry Lemonade Cupcakes - 159.7 calories, 1.1g protein, 3.3g fat, 29.3g carbs.",Raspberry Lemonade Cupcakes,False,False,True,True,{'balanced': True},"{'calories': 159.7, 'protein': 1.1, 'total_fat': 3.3, 'carbs': 29.3}",[]
Recommend a quick recipe that takes less than 70 minutes.,"Chopped Veggie Salad - Takes 60 minutes, 170.0 calories, serves 1.",Chopped Veggie Salad,True,True,True,False,{'duration_max': 70.0},"{'calories': 170.0, 'duration': 60.0, 'serves': 1}",[]
Suggest a balanced meal with moderate calories and good protein.,"Sweet Potato Hash - 253.0 calories, 6.7g protein, 15.0g fat, 33.0g carbs.",Sweet Potato Hash,True,False,True,False,{'balanced': True},"{'calories': 253.0, 'protein': 6.7, 'total_fat': 15.0, 'carbs': 33.0}",[]
Recommend a quick recipe that takes less than 15 minutes.,"Chicken with Balsamic Vinegar - Takes 10 minutes, 252.7 calories, serves 4.",Chicken with Balsamic Vinegar,True,False,True,False,{'duration_max': 15.0},"{'calories': 252.7, 'duration': 10.0, 'serves': 4}",['balsamic vinegar - takes 10 minutes']
Suggest a ingredients recipe under 231 calories.,"Grandma's Chicken - 231.8 calories, 21.4g protein, ready in 40 minutes.",Grandma's Chicken,True,False,True,False,{'calories_max': 231.0},"{'calories': 231.8, 'protein': 21.4, 'duration': 40.0}",[]
Recommend a high-fiber recipe with at least 2g fiber.,"Chocolate Cherry Muffins - 3.5g dietary fiber, 222.4 calories, 33.1g total carbs.",Chocolate Cherry Muffins,True,True,True,False,{'fiber_min': 2.0},"{'calories': 222.4, 'fiber': 3.5}",[]
Find a high-protein recipe with at least 6g protein.,"Sausage, Apple, and Cranberry Stuffing - 8.4g protein, 267.2 calories, 15.0g fat, 29.6g carbs.","Sausage, Apple, and Cranberry Stuffing",False,False,True,True,{'protein_min': 6.0},"{'calories': 267.2, 'protein': 8.4, 'total_fat': 15.0, 'carbs': 29.6}",[]
Suggest a ingredients recipe under 273 calories.,"Cheesy Corn Dip - 273.0 calories, 14.8g protein, ready in 15 minutes.",Cheesy Corn Dip,True,True,True,False,{'calories_max': 273.0},"{'calories': 273.0, 'protein': 14.8, 'duration': 15.0}",[]
Recommend a quick recipe that takes less than 20 minutes.,"Chicken Noodle Soup - Takes 15 minutes, 190.3 calories, serves 1.",Chicken Noodle Soup,True,False,True,False,{'duration_max': 20.0},"{'calories': 190.3, 'duration': 15.0, 'serves': 1}",[]
Recommend a high-fiber recipe with at least 14g fiber.,"Low-Sodium Beef Stew - 15.5g dietary fiber, 444.8 calories, 75.3g total carbs.",Low,True,False,True,False,{'fiber_min': 14.0},"{'calories': 444.8, 'fiber': 15.5}",[]
Recommend a quick recipe that takes less than 60 minutes.,"Crispy Chicken Thighs - Takes 45 minutes, 254.6 calories, serves 4.",Crispy Chicken Thighs,True,True,True,False,{'duration_max': 60.0},"{'calories': 254.6, 'duration': 45.0, 'serves': 4}",[]
Find a high-protein recipe with at least 33g protein.,"Cheeseburger Soup - 37.9g protein, 450.6 calories, 24.9g fat, 28.3g carbs.",Cheeseburger Soup,True,False,True,False,{'protein_min': 33.0},"{'calories': 450.6, 'protein': 37.9, 'total_fat': 24.9, 'carbs': 28.3}",[]
Suggest a balanced meal with moderate calories and good protein.,"Italian Style Chicken and Potatoes - 395.2 calories, 19.4g protein, 24.4g fat, 26.6g carbs.",Italian Style Chicken and Potatoes,False,False,True,True,{'balanced': True},"{'calories': 395.2, 'protein': 19.4, 'total_fat': 24.4, 'carbs': 26.6}",[]
Suggest a balanced meal with moderate calories and good protein.,"Chocolate Chip Cookie Dough Protein Bars - 170.6 calories, 6.1g protein, 7.5g fat, 20.9g carbs.",Chocolate Chip Cookie Dough Protein Bars,False,False,True,True,{'balanced': True},"{'calories': 170.6, 'protein': 6.1, 'total_fat': 7.5, 'carbs': 20.9}",[]
Recommend a high-fiber recipe with at least 4g fiber.,"Honey-Glazed Turkey Breast - 5.6g dietary fiber, 1088.4 calories, 58.3g total carbs.",Honey,True,True,True,False,{'fiber_min': 4.0},"{'calories': 1088.4, 'fiber': 5.6}",[]
Recommend a quick recipe that takes less than 40 minutes.,"Chicken Fajitas - Takes 35 minutes, 347.8 calories, serves 4.",Chicken Fajitas,True,True,True,False,{'duration_max': 40.0},"{'calories': 347.8, 'duration': 35.0, 'serves': 4}",[]
Suggest a balanced meal with moderate calories and good protein.,"Tuna Salad - 166.0 calories, 13.4g protein, 5.0g fat, 15.1g carbs.",Tuna Salad,True,True,True,False,{'balanced': True},"{'calories': 166.0, 'protein': 13.4, 'total_fat': 5.0, 'carbs': 15.1}",[]
List a low-sodium recipe under 639mg sodium.,"Honey Wheat Bread - 597.6mg sodium, 90.2 calories, 45 minutes prep time.",Honey Wheat Bread,True,True,True,False,"{'calories_max': 639.0, 'sodium_max': 639.0}","{'calories': 90.2, 'sodium': 597.6, 'duration': 45.0}",[]
Suggest a ingredients recipe around 544 calories.,"Cheesy Potato Casserole - 544.2 calories, 28.1g protein, ready in 75 minutes.",Cheesy Potato Casserole,True,False,True,False,"{'calories_min': 494.0, 'calories_max': 594.0}","{'calories': 544.2, 'protein': 28.1, 'duration': 75.0}",[]
Suggest a ingredients recipe under 397 calories.,"Easy Homemade Granola - 397.8 calories, 6.2g protein, ready in 30 minutes.",Easy Homemade Granola,True,True,True,False,{'calories_max': 397.0},"{'calories': 397.8, 'protein': 6.2, 'duration': 30.0}",[]
Suggest a balanced meal with moderate calories and good protein.,"Fruit Salad - 91.8 calories, 0.5g protein, 0.0g fat, 23.8g carbs.",Fruit Salad,True,False,True,False,{'balanced': True},"{'calories': 91.8, 'protein': 0.5, 'total_fat': 0.0, 'carbs': 23.8}",[]
Suggest a ingredients recipe under 237 calories.,"Bacon-Wrapped Chicken - 237.8 calories, 11.5g protein, ready in 25 minutes.",Bacon,True,False,True,False,{'calories_max': 237.0},"{'calories': 237.8, 'protein': 11.5, 'duration': 25.0}",[]
List a low-sodium recipe under 268mg sodium.,"Chicken Enchilada Pie - 256.4mg sodium, 396.1 calories, 60 minutes prep time.",Chicken Enchilada Pie,True,False,True,False,"{'calories_max': 268.0, 'sodium_max': 268.0}","{'calories': 396.1, 'sodium': 256.4, 'duration': 60.0}",[]
List a low-sodium recipe under 147mg sodium.,"Pumpkin Pie - 114.7mg sodium, 316.7 calories, 35 minutes prep time.",Pumpkin Pie,True,False,True,False,"{'calories_max': 147.0, 'sodium_max': 147.0}","{'calories': 316.7, 'sodium': 114.7, 'duration': 35.0}",[]
Suggest a balanced meal with moderate calories and good protein.,"Honey-Ginger Chicken - 352.9 calories, 26.8g protein, 10.3g fat, 24.5g carbs.",Honey,True,True,True,False,{'balanced': True},"{'calories': 352.9, 'protein': 26.8, 'total_fat': 10.3, 'carbs': 24.5}",[]
Suggest a balanced meal with moderate calories and good protein.,"Chicken, Broccoli and Rice Casserole - 342.9 calories, 16.6g protein, 6.5g fat, 58.0g carbs.","Chicken, Broccoli and Rice Casserole",True,True,True,False,{'balanced': True},"{'calories': 342.9, 'protein': 16.6, 'total_fat': 6.5, 'carbs': 58.0}",[]
Suggest a balanced meal with moderate calories and good protein.,"Egg and Sausage Casserole - 357.9 calories, 20.7g protein, 22.0g fat, 12.0g carbs.",Egg and Sausage Casserole,True,True,True,False,{'balanced': True},"{'calories': 357.9, 'protein': 20.7, 'total_fat': 22.0, 'carbs': 12.0}",[]
List a low-sodium recipe under 537mg sodium.,"Chocolate Almond Biscotti - 507.1mg sodium, 110.7 calories, 40 minutes prep time.",Chocolate Almond Biscotti,True,True,True,False,"{'calories_max': 537.0, 'sodium_max': 537.0}","{'calories': 110.7, 'sodium': 507.1, 'duration': 40.0}",[]
Recommend a quick recipe that takes less than 70 minutes.,"Raspberry Cream Cheese Brownies - Takes 60 minutes, 170.4 calories, serves 12.",Raspberry Cream Cheese Brownies,True,True,True,False,{'duration_max': 70.0},"{'calories': 170.4, 'duration': 60.0, 'serves': 12}",[]
Suggest a balanced meal with moderate calories and good protein.,"Mozzarella Sticks - 130.4 calories, 3.8g protein, 4.5g fat, 12.0g carbs.",Mozzarella Sticks,True,False,True,False,{'balanced': True},"{'calories': 130.4, 'protein': 3.8, 'total_fat': 4.5, 'carbs': 12.0}",[]
Suggest a balanced meal with moderate calories and good protein.,"Tuna Salad With Apple - 183.9 calories, 10.7g protein, 12.7g fat, 4.4g carbs.",Tuna Salad With Apple,True,True,True,False,{'balanced': True},"{'calories': 183.9, 'protein': 10.7, 'total_fat': 12.7, 'carbs': 4.4}",['apple - 183']
Find a high-protein recipe with at least 4g protein.,"Gingerbread Muffins - 5.3g protein, 171.2 calories, 7.3g fat, 24.0g carbs.",Gingerbread Muffins,True,False,True,False,{'protein_min': 4.0},"{'calories': 171.2, 'protein': 5.3, 'total_fat': 7.3, 'carbs': 24.0}",[]
Suggest a ingredients recipe under 25 calories.,"Baked Apples - 25.7 calories, 0.3g protein, ready in 50 minutes.",Baked Apples,True,False,True,False,{'calories_max': 25.0},"{'calories': 25.7, 'protein': 0.3, 'duration': 50.0}",[]
Recommend a quick recipe that takes less than 40 minutes.,"Savory Tuna and Apple Tart - Takes 30 minutes, 172.6 calories, serves 6.",Savory Tuna and Apple Tart,False,False,True,True,{'duration_max': 40.0},"{'calories': 172.6, 'duration': 30.0, 'serves': 6}",[]
Suggest a balanced meal with moderate calories and good protein.,"Peanut Butter and Jelly Sandwich - 285.3 calories, 8.2g protein, 5.9g fat, 44.3g carbs.",Peanut Butter and Jelly Sandwich,True,False,True,False,{'balanced': True},"{'calories': 285.3, 'protein': 8.2, 'total_fat': 5.9, 'carbs': 44.3}",[]
Suggest a balanced meal with moderate calories and good protein.,"Easy Homemade Potato Chips - 163.4 calories, 1.7g protein, 7.8g fat, 21.5g carbs.",Easy Homemade Potato Chips,False,False,True,True,{'balanced': True},"{'calories': 163.4, 'protein': 1.7, 'total_fat': 7.8, 'carbs': 21.5}",[]
Recommend a high-fiber recipe with at least 1g fiber.,"Peanut Butter Balls - 1.2g dietary fiber, 111.1 calories, 5.4g total carbs.",Peanut Butter Balls,True,True,True,False,{'fiber_min': 1.0},"{'calories': 111.1, 'fiber': 1.2}",[]
Find a high-protein recipe with at least 21g protein.,"Peanut Butter and Jelly Cookies - 23.2g protein, 255.2 calories, 15.5g fat, 29.2g carbs.",Peanut Butter and Jelly Cookies,True,False,True,False,{'protein_min': 21.0},"{'calories': 255.2, 'protein': 23.2, 'total_fat': 15.5, 'carbs': 29.2}",[]
Recommend a quick recipe that takes less than 45 minutes.,"Mediterranean Pasta Salad - Takes 30 minutes, 172.3 calories, serves 1.",Mediterranean Pasta Salad,True,False,True,False,{'duration_max': 45.0},"{'calories': 172.3, 'duration': 30.0, 'serves': 1}",[]
Suggest a ingredients recipe under 243 calories.,"Cheese & Veggie Pasta - 243.6 calories, 8.5g protein, ready in 25 minutes.",Cheese & Veggie Pasta,False,False,True,True,{'calories_max': 243.0},"{'calories': 243.6, 'protein': 8.5, 'duration': 25.0}",[]
List a low-sodium recipe under 6183mg sodium.,"Baked Fish - 6084.7mg sodium, 263.1 calories, 30 minutes prep time.",Baked Fish,True,True,True,False,"{'calories_max': 6183.0, 'sodium_max': 6183.0}","{'calories': 263.1, 'sodium': 6084.7, 'duration': 30.0}",[]
List a low-sodium recipe under 2898mg sodium.,"Sicilian Pizza - 2873.2mg sodium, 450.0 calories, 35 minutes prep time.",Sicilian Pizza,True,True,True,False,"{'calories_max': 2898.0, 'sodium_max': 2898.0}","{'calories': 450.0, 'sodium': 2873.2, 'duration': 35.0}",[]
Recommend a quick recipe that takes less than 60 minutes.,"Sesame Chicken - Takes 55 minutes, 357.6 calories, serves 4.",Sesame Chicken,True,True,True,False,{'duration_max': 60.0},"{'calories': 357.6, 'duration': 55.0, 'serves': 4}",[]
Find a high-protein recipe with at least 10g protein.,"Cheesy Spinach Stuffed Chicken - 13.3g protein, 327.0 calories, 21.0g fat, 2.1g carbs.",Cheesy Spinach Stuffed Chicken,False,False,True,True,{'protein_min': 10.0},"{'calories': 327.0, 'protein': 13.3, 'total_fat': 21.0, 'carbs': 2.1}",[]
Suggest a balanced meal with moderate calories and good protein.,"Chopped Spinach and Artichoke Casserole - 192.5 calories, 8.9g protein, 8.7g fat, 21.1g carbs.",Chopped Spinach and Artichoke Casserole,False,False,True,True,{'balanced': True},"{'calories': 192.5, 'protein': 8.9, 'total_fat': 8.7, 'carbs': 21.1}",[]
List a low-sodium recipe under 208mg sodium.,"Grandma's Chicken - 180.6mg sodium, 215.2 calories, 35 minutes prep time.",Grandma's Chicken,True,False,True,False,"{'calories_max': 208.0, 'sodium_max': 208.0}","{'calories': 215.2, 'sodium': 180.6, 'duration': 35.0}",[]
Suggest a ingredients recipe around 414 calories.,"Cheesy Beef and Rice Casserole - 414.0 calories, 22.3g protein, ready in 90 minutes.",Cheesy Beef and Rice Casserole,False,False,True,True,"{'calories_min': 364.0, 'calories_max': 464.0}","{'calories': 414.0, 'protein': 22.3, 'duration': 90.0}",[]
Find a high-protein recipe with at least 6g protein.,"Sweet Potato and Black Bean Chili - 8.0g protein, 252.4 calories, 0.6g fat, 47.7g carbs.",Sweet Potato and Black Bean Chili,True,True,True,False,{'protein_min': 6.0},"{'calories': 252.4, 'protein': 8.0, 'total_fat': 0.6, 'carbs': 47.7}",[]
List a low-sodium recipe under 684mg sodium.,"Grandma's Macaroni and Cheese - 637.7mg sodium, 365.2 calories, 60 minutes prep time.",Grandma's Macaroni and Cheese,True,False,True,False,"{'calories_max': 684.0, 'sodium_max': 684.0}","{'calories': 365.2, 'sodium': 637.7, 'duration': 60.0}",[]
List a low-sodium recipe under 698mg sodium.,"Egg Salad - 698.3mg sodium, 268.1 calories, 35 minutes prep time.",Egg Salad,True,True,True,False,"{'calories_max': 698.0, 'sodium_max': 698.0}","{'calories': 268.1, 'sodium': 698.3, 'duration': 35.0}",[]
Recommend a quick recipe that takes less than 40 minutes.,"Lemonade Ice Cream - Takes 35 minutes, 172.1 calories, serves 1.",Lemonade Ice Cream,True,False,True,False,{'duration_max': 40.0},"{'calories': 172.1, 'duration': 35.0, 'serves': 1}",[]
Suggest a ingredients recipe under 380 calories.,"Veggie Omelet - 380.6 calories, 17.6g protein, ready in 25 minutes.",Veggie Omelet,True,True,True,False,{'calories_max': 380.0},"{'calories': 380.6, 'protein': 17.6, 'duration': 25.0}",[]
Suggest a ingredients recipe under 162 calories.,"Chocolate Pecan Pie - 162.4 calories, 2.5g protein, ready in 75 minutes.",Chocolate Pecan Pie,True,False,True,False,{'calories_max': 162.0},"{'calories': 162.4, 'protein': 2.5, 'duration': 75.0}",[]
Recommend a quick recipe that takes less than 70 minutes.,"Baked Potatoes With Bacon - Takes 60 minutes, 235.2 calories, serves 1.",Baked Potatoes With Bacon,True,True,True,False,{'duration_max': 70.0},"{'calories': 235.2, 'duration': 60.0, 'serves': 1}",['bacon - takes 60 minutes']
List a low-sodium recipe under 2779mg sodium.,"Sausage and Pepperoni Pizza - 2779.7mg sodium, 390.8 calories, 30 minutes prep time.",Sausage and Pepperoni Pizza,False,False,True,True,"{'calories_max': 2779.0, 'sodium_max': 2779.0}","{'calories': 390.8, 'sodium': 2779.7, 'duration': 30.0}",[]
Suggest a ingredients recipe under 43 calories.,"Creamy Corn - 43.7 calories, 2.2g protein, ready in 15 minutes.",Creamy Corn,True,False,True,False,{'calories_max': 43.0},"{'calories': 43.7, 'protein': 2.2, 'duration': 15.0}",[]
List a low-sodium recipe under 2413mg sodium.,"Chocolate Fudge - 2413.2mg sodium, 273.4 calories, 30 minutes prep time.",Chocolate Fudge,True,True,True,False,"{'calories_max': 2413.0, 'sodium_max': 2413.0}","{'calories': 273.4, 'sodium': 2413.2, 'duration': 30.0}",[]
Recommend a quick recipe that takes less than 25 minutes.,"Fruit Salad - Takes 15 minutes, 95.1 calories, serves 1.",Fruit Salad,True,True,True,False,{'duration_max': 25.0},"{'calories': 95.1, 'duration': 15.0, 'serves': 1}",[]
Recommend a quick recipe that takes less than 40 minutes.,"Easy Baked Beans - Takes 30 minutes, 320.3 calories, serves 6.",Easy Baked Beans,True,False,True,False,{'duration_max': 40.0},"{'calories': 320.3, 'duration': 30.0, 'serves': 6}",[]
Suggest a balanced meal with moderate calories and good protein.,"Baked Parmesan Chicken - 264.9 calories, 22.6g protein, 9.6g fat, 4.1g carbs.",Baked Parmesan Chicken,True,False,True,False,{'balanced': True},"{'calories': 264.9, 'protein': 22.6, 'total_fat': 9.6, 'carbs': 4.1}",[]
Recommend a high-fiber recipe with at least 2g fiber.,"Peanut Butter Cookies - 3.0g dietary fiber, 172.2 calories, 40.7g total carbs.",Peanut Butter Cookies,True,True,True,False,{'fiber_min': 2.0},"{'calories': 172.2, 'fiber': 3.0}",[]
List a low-sodium recipe under 275mg sodium.,"Sausage and Apple Stuffing - 240.9mg sodium, 270.1 calories, 60 minutes prep time.",Sausage and Apple Stuffing,True,False,True,False,"{'calories_max': 275.0, 'sodium_max': 275.0}","{'calories': 270.1, 'sodium': 240.9, 'duration': 60.0}",[]
Suggest a ingredients recipe around 1068 calories.,"Peanut Butter Balls - 1068.0 calories, 13.3g protein, ready in 50 minutes.",Peanut Butter Balls,True,False,True,False,"{'calories_min': 1018.0, 'calories_max': 1118.0}","{'calories': 1068.0, 'protein': 13.3, 'duration': 50.0}",[]
Suggest a ingredients recipe around 2138 calories.,"Easy Cinnamon Rolls - 2138.7 calories, 25.2g protein, ready in 180 minutes.",Easy Cinnamon Rolls,True,False,True,False,"{'calories_min': 2088.0, 'calories_max': 2188.0}","{'calories': 2138.7, 'protein': 25.2, 'duration': 180.0}",[]
Suggest a ingredients recipe around 684 calories.,"Peanut Butter Fudge - 684.8 calories, 6.9g protein, ready in 10 minutes.",Peanut Butter Fudge,True,False,True,False,"{'calories_min': 634.0, 'calories_max': 734.0}","{'calories': 684.8, 'protein': 6.9, 'duration': 10.0}",[]
List a low-sodium recipe under 2430mg sodium.,"Chicken and Corn Chowder - 2407.9mg sodium, 286.6 calories, 30 minutes prep time.",Chicken and Corn Chowder,True,True,True,False,"{'calories_max': 2430.0, 'sodium_max': 2430.0}","{'calories': 286.6, 'sodium': 2407.9, 'duration': 30.0}",[]
Suggest a ingredients recipe under 60 calories.,"Chicken Salad With Pineapple - 60.2 calories, 1.9g protein, ready in 15 minutes.",Chicken Salad With Pineapple,True,False,True,False,{'calories_max': 60.0},"{'calories': 60.2, 'protein': 1.9, 'duration': 15.0}",['pineapple - 60']
Suggest a ingredients recipe around 697 calories.,"Bacon, Lettuce and Tomato Sandwich - 697.6 calories, 29.2g protein, ready in 10 minutes.","Bacon, Lettuce and Tomato Sandwich",True,False,True,False,"{'calories_min': 647.0, 'calories_max': 747.0}","{'calories': 697.6, 'protein': 29.2, 'duration': 10.0}",[]
Suggest a balanced meal with moderate calories and good protein.,"Tuna Salad - 219.4 calories, 17.3g protein, 14.9g fat, 3.3g carbs.",Tuna Salad,True,True,True,False,{'balanced': True},"{'calories': 219.4, 'protein': 17.3, 'total_fat': 14.9, 'carbs': 3.3}",[]
Recommend a quick recipe that takes less than 135 minutes.,"Quick and Easy Chicken - Takes 115 minutes, 278.1 calories, serves 6.",Quick and Easy Chicken,True,True,True,False,{'duration_max': 135.0},"{'calories': 278.1, 'duration': 115.0, 'serves': 6}",[]
List a low-sodium recipe under 120mg sodium.,"Easy Tuna Noodle Casserole - 108.3mg sodium, 330.7 calories, 55 minutes prep time.",Easy Tuna Noodle Casserole,True,False,True,False,"{'calories_max': 120.0, 'sodium_max': 120.0}","{'calories': 330.7, 'sodium': 108.3, 'duration': 55.0}",[]
