instruction,model_output,parsed_title,title_in_dataset,satisfied_by_returned,dataset_has_any_matching,hallucinated,constraints,claims,mentioned_ingredients
Suggest a ingredients recipe around 411 calories.,"Cheesy Chicken and Rice Casserole - 411.0 calories, 31.6g protein, ready in 70 minutes.",Cheesy Chicken and Rice Casserole,True,False,True,False,"{'calories_min': 361.0, 'calories_max': 461.0}","{'calories': 411.0, 'protein': 31.6, 'duration': 70.0}",[]
Suggest a balanced meal with moderate calories and good protein.,"Chicken and Brie Sandwich - 398.7 calories, 20.3g protein, 12.2g fat, 39.4g carbs.",Chicken and Brie Sandwich,False,False,True,True,{'balanced': True},"{'calories': 398.7, 'protein': 20.3, 'total_fat': 12.2, 'carbs': 39.4}",[]
Suggest a ingredients recipe under 160 calories.,"Chicken and Corn Chowder - 160.5 calories, 5.4g protein, ready in 30 minutes.",Chicken and Corn Chowder,True,True,True,False,{'calories_max': 160.0},"{'calories': 160.5, 'protein': 5.4, 'duration': 30.0}",[]
List a low-sodium recipe under 483mg sodium.,"Fried Chicken - 483.7mg sodium, 334.1 calories, 50 minutes prep time.",Fried Chicken,True,True,True,False,"{'calories_max': 483.0, 'sodium_max': 483.0}","{'calories': 334.1, 'sodium': 483.7, 'duration': 50.0}",[]
Suggest a ingredients recipe under 190 calories.,"Mexican Cornbread - 190.3 calories, 3.3g protein, ready in 60 minutes.",Mexican Cornbread,True,False,True,False,{'calories_max': 190.0},"{'calories': 190.3, 'protein': 3.3, 'duration': 60.0}",[]
Suggest a balanced meal with moderate calories and good protein.,"Chicken and Broccoli Stir Fry - 258.4 calories, 24.8g protein, 14.7g fat, 11.0g carbs.",Chicken and Broccoli Stir Fry,True,False,True,False,{'balanced': True},"{'calories': 258.4, 'protein': 24.8, 'total_fat': 14.7, 'carbs': 11.0}",[]
List a low-sodium recipe under 647mg sodium.,"Cucumber Salad - 637.3mg sodium, 67.8 calories, 15 minutes prep time.",Cucumber Salad,True,True,True,False,"{'calories_max': 647.0, 'sodium_max': 647.0}","{'calories': 67.8, 'sodium': 637.3, 'duration': 15.0}",[]
Suggest a ingredients recipe around 616 calories.,"Chicken and Chorizo Paella - 616.2 calories, 43.7g protein, ready in 60 minutes.",Chicken and Chorizo Paella,True,False,True,False,"{'calories_min': 566.0, 'calories_max': 666.0}","{'calories': 616.2, 'protein': 43.7, 'duration': 60.0}",[]
Recommend a high-fiber recipe with at least 3g fiber.,"Cranberry Orange Muffins - 4.3g dietary fiber, 179.8 calories, 38.0g total carbs.",Cranberry Orange Muffins,True,True,True,False,{'fiber_min': 3.0},"{'calories': 179.8, 'fiber': 4.3}",[]
List a low-sodium recipe under 7259mg sodium.,"Cheddar Cheese Grits - 7196.0mg sodium, 271.9 calories, 45 minutes prep time.",Cheddar Cheese Grits,True,True,True,False,"{'calories_max': 7259.0, 'sodium_max': 7259.0}","{'calories': 271.9, 'sodium': 7196.0, 'duration': 45.0}",[]
Suggest a ingredients recipe under 262 calories.,"Peanut Butter Balls - 262.5 calories, 4.2g protein, ready in 20 minutes.",Peanut Butter Balls,True,False,True,False,{'calories_max': 262.0},"{'calories': 262.5, 'protein': 4.2, 'duration': 20.0}",[]
Recommend a high-fiber recipe with at least 7g fiber.,"Easy Fruit Salad - 8.4g dietary fiber, 218.6 calories, 1.3g total carbs.",Easy Fruit Salad,True,False,True,False,{'fiber_min': 7.0},"{'calories': 218.6, 'fiber': 8.4}",[]
Find a high-protein recipe with at least 15g protein.,"Tuna Cakes - 18.8g protein, 174.9 calories, 4.9g fat, 0.4g carbs.",Tuna Cakes,True,True,True,False,{'protein_min': 15.0},"{'calories': 174.9, 'protein': 18.8, 'total_fat': 4.9, 'carbs': 0.4}",[]
Suggest a balanced meal with moderate calories and good protein.,"Chicken Pot Pie - 316.4 calories, 16.3g protein, 13.0g fat, 34.3g carbs.",Chicken Pot Pie,True,True,True,False,{'balanced': True},"{'calories': 316.4, 'protein': 16.3, 'total_fat': 13.0, 'carbs': 34.3}",[]
Recommend a quick recipe that takes less than 13 minutes.,"Szechuan Beef - Takes 13 minutes, 261.2 calories, serves 4.",Szechuan Beef,True,False,True,False,{'duration_max': 13.0},"{'calories': 261.2, 'duration': 13.0, 'serves': 4}",[]
List a low-sodium recipe under 1527mg sodium.,"Cinnamon Apples - 1527.7mg sodium, 150.4 calories, 45 minutes prep time.",Cinnamon Apples,True,True,True,False,"{'calories_max': 1527.0, 'sodium_max': 1527.0}","{'calories': 150.4, 'sodium': 1527.7, 'duration': 45.0}",[]
Find a high-protein recipe with at least 26g protein.,"Oatmeal Cookies - 28.9g protein, 187.2 calories, 4.3g fat, 36.1g carbs.",Oatmeal Cookies,True,False,True,False,{'protein_min': 26.0},"{'calories': 187.2, 'protein': 28.9, 'total_fat': 4.3, 'carbs': 36.1}",[]
List a low-sodium recipe under 498mg sodium.,"Chocolate Pecan Pie - 470.4mg sodium, 590.2 calories, 60 minutes prep time.",Chocolate Pecan Pie,True,False,True,False,"{'calories_max': 498.0, 'sodium_max': 498.0}","{'calories': 590.2, 'sodium': 470.4, 'duration': 60.0}",[]
List a low-sodium recipe under 88mg sodium.,"Minted Cucumber Salad - 81.2mg sodium, 40.2 calories, 5 minutes prep time.",Minted Cucumber Salad,True,False,True,False,"{'calories_max': 88.0, 'sodium_max': 88.0}","{'calories': 40.2, 'sodium': 81.2, 'duration': 5.0}",[]
List a low-sodium recipe under 201mg sodium.,"Cranberry Orange Quick Bread - 185.8mg sodium, 258.0 calories, 45 minutes prep time.",Cranberry Orange Quick Bread,True,False,True,False,"{'calories_max': 201.0, 'sodium_max': 201.0}","{'calories': 258.0, 'sodium': 185.8, 'duration': 45.0}",[]
List a low-sodium recipe under 657mg sodium.,"Veggie and Barley Soup - 617.7mg sodium, 183.8 calories, 40 minutes prep time.",Veggie and Barley Soup,True,True,True,False,"{'calories_max': 657.0, 'sodium_max': 657.0}","{'calories': 183.8, 'sodium': 617.7, 'duration': 40.0}",[]
Find a high-protein recipe with at least 29g protein.,"Garden Vegetable Pasta - 32.8g protein, 271.7 calories, 3.2g fat, 48.5g carbs.",Garden Vegetable Pasta,True,False,True,False,{'protein_min': 29.0},"{'calories': 271.7, 'protein': 32.8, 'total_fat': 3.2, 'carbs': 48.5}",[]
List a low-sodium recipe under 183mg sodium.,"Baked Chicken With Honey Glaze - 174.9mg sodium, 277.0 calories, 40 minutes prep time.",Baked Chicken With Honey Glaze,False,False,True,True,"{'calories_max': 183.0, 'sodium_max': 183.0}","{'calories': 277.0, 'sodium': 174.9, 'duration': 40.0}",['honey glaze - 174']
Find a high-protein recipe with at least 5g protein.,"Lemonade With Raspberry - 5.8g protein, 0.3g fat, 131.1g carbs.",Lemonade With Raspberry,True,False,True,False,{'protein_min': 5.0},"{'protein': 5.8, 'total_fat': 0.3, 'carbs': 131.1}",['raspberry - 5']
Recommend a quick recipe that takes less than 140 minutes.,"Tropical Fruit Salad - Takes 125 minutes, 258.0 calories, serves 1.",Tropical Fruit Salad,True,True,True,False,{'duration_max': 140.0},"{'calories': 258.0, 'duration': 125.0, 'serves': 1}",[]
List a low-sodium recipe under 511mg sodium.,"Easy Chocolate Truffles - 510.7mg sodium, 56.0 calories, 30 minutes prep time.",Easy Chocolate Truffles,True,False,True,False,"{'calories_max': 511.0, 'sodium_max': 511.0}","{'calories': 56.0, 'sodium': 510.7, 'duration': 30.0}",[]
Suggest a ingredients recipe under 367 calories.,"Peanut Butter Chocolate Chip Cookies - 367.4 calories, 4.8g protein, ready in 40 minutes.",Peanut Butter Chocolate Chip Cookies,True,True,True,False,{'calories_max': 367.0},"{'calories': 367.4, 'protein': 4.8, 'duration': 40.0}",[]
Suggest a balanced meal with moderate calories and good protein.,"Fruited Rice Pudding - 180.0 calories, 2.7g protein, 1.1g fat, 37.0g carbs.",Fruited Rice Pudding,False,False,True,True,{'balanced': True},"{'calories': 180.0, 'protein': 2.7, 'total_fat': 1.1, 'carbs': 37.0}",[]
Suggest a ingredients recipe around 2340 calories.,"Peaches and Cream Icebox Cake - 2340.3 calories, 16.2g protein, ready in 60 minutes.",Peaches and Cream Icebox Cake,False,False,True,True,"{'calories_min': 2290.0, 'calories_max': 2390.0}","{'calories': 2340.3, 'protein': 16.2, 'duration': 60.0}",[]
Suggest a ingredients recipe around 438 calories.,"Chicken and Broccoli with Lemon Butter Sauce - 438.5 calories, 19.8g protein, ready in 35 minutes.",Chicken and Broccoli with Lemon Butter Sauce,False,False,True,True,"{'calories_min': 388.0, 'calories_max': 488.0}","{'calories': 438.5, 'protein': 19.8, 'duration': 35.0}",['lemon butter sauce - 438']
Suggest a balanced meal with moderate calories and good protein.,"Peanut Butter and Jelly Sandwich - 226.8 calories, 6.5g protein, 10.3g fat, 33.6g carbs.",Peanut Butter and Jelly Sandwich,True,False,True,False,{'balanced': True},"{'calories': 226.8, 'protein': 6.5, 'total_fat': 10.3, 'carbs': 33.6}",[]
Recommend a quick recipe that takes less than 70 minutes.,"Cheddar Cheese and Potato Soup - Takes 50 minutes, 261.9 calories, serves 4.",Cheddar Cheese and Potato Soup,False,False,True,True,{'duration_max': 70.0},"{'calories': 261.9, 'duration': 50.0, 'serves': 4}",[]
Suggest a balanced meal with moderate calories and good protein.,"Pineapple Upside-Down Cake - 326.2 calories, 3.6g protein, 19.2g fat, 43.2g carbs.",Pineapple Upside,True,False,True,False,{'balanced': True},"{'calories': 326.2, 'protein': 3.6, 'total_fat': 19.2, 'carbs': 43.2}",[]
List a low-sodium recipe under 50mg sodium.,"Broccoli and Cheese Casserole - 35.1mg sodium, 230.3 calories, 50 minutes prep time.",Broccoli and Cheese Casserole,True,False,True,False,"{'calories_max': 50.0, 'sodium_max': 50.0}","{'calories': 230.3, 'sodium': 35.1, 'duration': 50.0}",[]
Recommend a high-fiber recipe with at least 11g fiber.,"Low-Fat Chocolate Chip Cookies - 12.4g dietary fiber, 215.0 calories, 2.5g total carbs.",Low,True,False,True,False,{'fiber_min': 11.0},"{'calories': 215.0, 'fiber': 12.4}",[]
Find a high-protein recipe with at least 15g protein.,"Fruit Salad With Honey Yogurt Dressing - 16.6g protein, 146.1 calories, 2.4g fat, 36.4g carbs.",Fruit Salad With Honey Yogurt Dressing,True,False,True,False,{'protein_min': 15.0},"{'calories': 146.1, 'protein': 16.6, 'total_fat': 2.4, 'carbs': 36.4}",['honey yogurt dressing - 16']
Suggest a ingredients recipe under 303 calories.,"Quick & Easy Chicken Noodle Soup - 303.4 calories, 19.7g protein, ready in 30 minutes.",Quick & Easy Chicken Noodle Soup,True,False,True,False,{'calories_max': 303.0},"{'calories': 303.4, 'protein': 19.7, 'duration': 30.0}",[]
Suggest a ingredients recipe under 335 calories.,"Cranberry Sauce - 335.3 calories, 0.8g protein, ready in 15 minutes.",Cranberry Sauce,True,True,True,False,{'calories_max': 335.0},"{'calories': 335.3, 'protein': 0.8, 'duration': 15.0}",[]
