instruction,model_output,parsed_title,title_in_dataset,matched_by,satisfied_by_returned,dataset_has_any_matching,hallucinated,constraints,claims,mentioned_ingredients,corrected_output,correction_type,correction_reason
Recommend a quick recipe that takes less than 60 minutes.,"Baked Brie - Takes 50 minutes, 277.1 calories, serves 1.",Baked Brie,True,exact,True,True,False,{'duration_max': 60.0},"{'calories': 277.1, 'duration': 50.0, 'serves': 1.0}",[],"Baked Brie - 546 calories, 19.8g protein, 429mg sodium, ready in 30 minutes, serves 4. Ingredients: {'': [('use whole round)', '8  time(s) ounces brie cheese, wedge (depends on how many people, can '), ('apricot jam', '6  time(s) ounces '), ('and use half of it)', '6  time(s) ounces honey-roasted almonds, presliced (in salad aisle, guessed on size, just buy bag '), ('pepper, freshly cracked (garnish)', ' time(s) ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Suggest a ingredients recipe under 138 calories.,"Chicken and Broccoli Casserole - 138.2 calories, 17.9g protein, ready in 50 minutes.",Chicken and Broccoli Casserole,True,exact,False,True,False,{'calories_max': 138.0},"{'calories': 138.2, 'protein': 17.9, 'duration': 50.0}",[],"Chicken and Broccoli Casserole - 282 calories, 18.1g protein, 974mg sodium, ready in 37 minutes, serves 6. Ingredients: {'': [('package frozen broccoli, thawed', '1 time(s) (16 ounce) '), ('cooked chicken (shredded or diced)', '2  time(s) cups '), ('cream of chicken soup', '2 time(s) (10 3/4 ounce) cans '), ('mayonnaise', '0.5 time(s) cup '), ('sour cream', '0.5 time(s) cup '), ('lemon juice or 1 teaspoon $template2$', '1  time(s) teaspoon '), ('seasoned bread crumbs', '0.5 time(s) cup '), ('melted butter', '1  time(s) tablespoon ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Suggest a ingredients recipe around 1390 calories.,"Bacon and Egg Pizza - 1390.4 calories, 49.7g protein, ready in 35 minutes.",Bacon and Egg Pizza,True,exact,False,True,False,"{'calories_min': 1340.0, 'calories_max': 1440.0}","{'calories': 1390.4, 'protein': 49.7, 'duration': 35.0}",[],"Bacon and Egg Pizza - 351 calories, 15.1g protein, 602mg sodium, ready in 40 minutes, serves 8. Ingredients: {'': [('refrigerated crescent dinner roll', '1  time(s) can '), ('slices bacon, cooked and crumbled', '12  time(s) '), ('frozen hash brown potatoes', '1  time(s) cup '), ('shredded cheese (your favorite kind)', '0.75 time(s) cup '), ('eggs', '4 time(s) '), ('milk', '2  time(s) tablespoons '), ('grated parmesan cheese or 1/2 cup $template2$', '0.5 time(s) cup ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Recommend a quick recipe that takes less than 30 minutes.,"Quick and Easy Baked Potatoes - Takes 20 minutes, 172.6 calories, serves 1.",Quick and Easy Baked Potatoes,True,fuzzy,False,True,False,{'duration_max': 30.0},"{'calories': 172.6, 'duration': 20.0, 'serves': 1.0}",[],"Quick And Easy Seasoned Potatoes - 471 calories, 23.9g protein, 606mg sodium, ready in 60 minutes, serves 4. Ingredients: {'': [('red potatoes', '6  time(s) '), ('grated parmesan cheese (dry)', '1  time(s) cup '), ('old bay seasoning', '1  time(s) tablespoon '), ('extra-sharp cheddar cheese, crumbled or grated', '1  time(s) cup ')]}",fix_claims,numeric claims diverged (matched_by=fuzzy)
Recommend a quick recipe that takes less than 35 minutes.,"Eggnog Pound Cake - Takes 30 minutes, 395.4 calories, serves 12.",Eggnog Pound Cake,True,exact,False,True,False,{'duration_max': 35.0},"{'calories': 395.4, 'duration': 30.0, 'serves': 12.0}",[],"Eggnog Pound Cake - 296 calories, 3.9g protein, 210mg sodium, ready in 60 minutes, serves 12. Ingredients: {'': [('cake flour', '2 1/4 time(s) cups '), ('baking powder', '1  time(s) tablespoon '), ('salt', '0.5 time(s) teaspoon '), ('ground cinnamon', '0.5 time(s) teaspoon '), ('nutmeg, grated', '0.5 time(s) teaspoon '), ('ground ginger', '0.25 time(s) teaspoon '), ('pinch ground cloves', '1  time(s) '), ('eggnog (full-fat or light version but not fat free)', '0.75 time(s) cup '), ('vanilla', '2  time(s) teaspoons '), ('unsalted butter, at room temperature', '0.75 time(s) cup '), ('granulated sugar', '1  time(s) cup '), ('large eggs', '2  time(s) ')]}",fix_claims,numeric claims diverged (matched_by=exact)
List a low-sodium recipe under 1277mg sodium.,"Baked Chicken with Apples and Cider - 1185.4mg sodium, 267.4 calories, 40 minutes prep time.",Baked Chicken with Apples and Cider,True,fuzzy,True,True,False,"{'calories_max': 1277.0, 'sodium_max': 1277.0}","{'calories': 267.4, 'sodium': 1185.4, 'duration': 40.0}","['apples', 'cider - 1185']","Broiled Chicken With Apples and Ginger - 260 calories, 28.0g protein, 661mg sodium, ready in 30 minutes, serves 2. Ingredients: {'': [('olive oil', '1  time(s) tablespoon '), ('red onion, halved, thinly sliced', '1  time(s) '), ('apple, cored, halved, thinly sliced', '1  time(s) '), ('balsamic vinegar', '2  time(s) tablespoons '), ('honey', '1  time(s) teaspoon '), ('gingerroot, minced', '1  time(s) teaspoon '), ('boneless skinless chicken breasts', '2  time(s) '), ('salt (or to taste)', '0.5 time(s) teaspoon '), ('fresh ground pepper', ' time(s) ')]}",fix_claims,numeric claims diverged (matched_by=fuzzy)
Recommend a quick recipe that takes less than 55 minutes.,"Mushroom and Swiss Cheese Strata - Takes 50 minutes, 252.2 calories, serves 4.",Mushroom and Swiss Cheese Strata,True,fuzzy,False,True,False,{'duration_max': 55.0},"{'calories': 252.2, 'duration': 50.0, 'serves': 4.0}",[],"Mushroom and Cheese Strata - 524 calories, 21.4g protein, 881mg sodium, serves 6. Ingredients: {'': [('medium onion, chopped (1/2 cup)', '1  time(s) '), ('clove garlic, minced', '1  time(s) '), ('margarine or 2 tablespoons $template2$', '2  time(s) tablespoons '), ('assorted sliced fresh mushrooms (such as oyster, shiitake, button, white, and/or crimini)', '4  time(s) cups '), ('shredded mozzarella cheese (2 ounces)', '0.5 time(s) cup '), ('shredded fontina cheese (1 ounce)', '0.25 time(s) cup '), ('assorted snipped fresh herbs (such as basil, oregano, thyme, and/or parsley)', '2  time(s) tablespoons '), ('french bread or 5 cups italian bread, cubes', '5  time(s) cups '), ('prosciutto or 2 ounces $template2$, chopped', '2  time(s) ounces '), ('fat-free liquid egg product, thawed frozen or refrigerated', '4  time(s) eggs, beaten or 1 cup '), ('milk', '1 3/4 time(s) cups '), ('single cream or 1/2 cup light sour cream', '0.5 time(s) cup '), ('dijon-style mustard', '1  time(s) tablespoon '), ('pepper', '0.125 time(s) teaspoon '), ('fresh thyme sprig', ' time(s) ')]}",fix_claims,numeric claims diverged (matched_by=fuzzy)
Recommend a high-fiber recipe with at least 2g fiber.,"Chicken and Vegetable Soup - 4.1g dietary fiber, 223.1 calories, 31.4g total carbs.",Chicken and Vegetable Soup,True,exact,True,True,False,{'fiber_min': 2.0},"{'calories': 223.1, 'fiber': 4.1}",[],"Chicken and Vegetable Soup - 128 calories, 6.8g protein, 484mg sodium, ready in 30 minutes, serves 8. Ingredients: {'': [('chicken', '2  time(s) cans '), ('chicken broth', '2  time(s) cans '), ('water', '2  time(s) cups '), ('sliced carrot', '1  time(s) can '), ('english pea', '1  time(s) can '), ('sliced potato', '1  time(s) can '), ('green beans', '1  time(s) can '), ('celery ribs', '2  time(s) '), ('pasta shells', '2  time(s) cups '), ('garlic powder (to taste)', ' time(s) '), ('pepper (to taste)', ' time(s) '), ('parsley flakes', '2  time(s) tablespoons ')]}",fix_claims,numeric claims diverged (matched_by=exact)
List a low-sodium recipe under 1309mg sodium.,"Rhubarb-Blueberry Crisp - 1308.7mg sodium, 457.8 calories, 75 minutes prep time.",Rhubarb,True,exact,True,True,False,"{'calories_max': 1309.0, 'sodium_max': 1309.0}","{'calories': 457.8, 'sodium': 1308.7, 'duration': 75.0}",[],"Rhubarb - 95 calories, 4.1g protein, 23mg sodium, ready in 35 minutes. Ingredients: {'': [('rhubarb', '1  time(s) lb '), ('water', '1  time(s) cup ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Find a high-protein recipe with at least 35g protein.,"Italian Sausage and Peppers - 39.3g protein, 457.6 calories, 26.1g fat, 16.2g carbs.",Italian Sausage and Peppers,True,exact,False,True,False,{'protein_min': 35.0},"{'calories': 457.6, 'protein': 39.3, 'carbs': 16.2, 'total_fat': 26.1}",[],"Italian Sausage and Peppers - 468 calories, 22.7g protein, 1562mg sodium, ready in 45 minutes, serves 4. Ingredients: {'': [('italian sausage, cut into 3/4-inch slices', '1  time(s) lb '), ('corsely chopped fresh bell pepper (combo of red, green, yellow or all one color)', '1  time(s) cup '), ('small onion, thinly sliced and quartered', '1  time(s) '), ('butter', '1  time(s) tablespoon '), ('olive oil', '1  time(s) tablespoon '), ('chicken broth or 2 tablespoons $template2$', '2  time(s) tablespoons '), ('plum tomatoes, coarsely chopped', '2  time(s) '), ('minced parsley', '1  time(s) tablespoon '), ('salt', '0.25 time(s) teaspoon '), ('pepper', '0.25 time(s) teaspoon '), ('lemon juice', '0.5 time(s) teaspoon ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Suggest a ingredients recipe under 181 calories.,"Peanut Butter and Banana Sandwich - 181.3 calories, 1.6g protein, ready in 5 minutes.",Peanut Butter and Banana Sandwich,True,exact,False,True,False,{'calories_max': 181.0},"{'calories': 181.3, 'protein': 1.6, 'duration': 5.0}",[],"Peanut Butter and Banana Sandwich - 497 calories, 12.6g protein, 505mg sodium, ready in 10 minutes, serves 1. Ingredients: {'': [('pieces white bread', '2  time(s) '), ('of jiff peanut butter', '2  time(s) tablespoons '), ('very ripe banana', '0.5 time(s) '), ('butter', '1  time(s) tablespoon '), ('honey', '1  time(s) teaspoon ')]}",fix_claims,numeric claims diverged (matched_by=exact)
List a low-sodium recipe under 690mg sodium.,"Cranberry Orange Muffins - 620.7mg sodium, 125.0 calories, 45 minutes prep time.",Cranberry Orange Muffins,True,exact,False,True,False,"{'calories_max': 690.0, 'sodium_max': 690.0}","{'calories': 125.0, 'sodium': 620.7, 'duration': 45.0}",[],"Cranberry Orange Muffins - 2340 calories, 45.5g protein, 3437mg sodium, ready in 25 minutes. Ingredients: {'': [('self-rising flour', '2  time(s) cups '), ('dried sweetened cranberries', '0.75 time(s) cup '), ('sugar', '0.5 time(s) cup '), ('grated orange rind', '1  time(s) tablespoon '), ('milk', '1  time(s) cup '), ('vegetable oil', '0.25 time(s) cup '), ('large eggs', '2  time(s) ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Recommend a high-fiber recipe with at least 3g fiber.,"Baked Spaghetti - 4.0g dietary fiber, 395.0 calories, 41.0g total carbs.",Baked Spaghetti,True,exact,False,True,False,{'fiber_min': 3.0},"{'calories': 395.0, 'fiber': 4.0}",[],"Baked Spaghetti - 284 calories, 20.9g protein, 302mg sodium, ready in 60 minutes, serves 8. Ingredients: {'': [('jar meatless sauce, any flavor', '1 time(s) (32 ounce) '), ('del monte diced tomatoes with green pepper and onion (do not drain)', '1 time(s) (14 ounce) can '), ('ground beef', '1  time(s) lb '), ('medium onion', '1  time(s) '), ('box angel hair pasta or 1 box $template2$, whichever floats your boat', '1  time(s) '), ('shredded mild cheddar cheese', '1 time(s) (8 ounce) bag '), ('shredded mozzarella cheese', '1  time(s) cup ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Suggest a ingredients recipe under 336 calories.,"Grandma's Cinnamon Rolls - 336.7 calories, 7.0g protein, ready in 90 minutes.",Grandma's Cinnamon Rolls,True,exact,True,True,False,{'calories_max': 336.0},"{'calories': 336.7, 'protein': 7.0, 'duration': 90.0}",[],"Grandma's Cinnamon Rolls - 221 calories, 3.9g protein, 62mg sodium, ready in 110 minutes, serves 12. Ingredients: {'': [('package active dry yeast', '1  time(s) '), ('water', '0.5 time(s) cup '), ('sugar', '1  time(s) teaspoon '), ('flour (add more or less to make a soft dough)', '3  time(s) cups '), ('sour cream', '1  time(s) cup '), ('vanilla', '1  time(s) teaspoon '), ('sugar', '3  time(s) tablespoons '), ('baking soda', '0.25 time(s) teaspoon '), ('butter, melted', '2  time(s) tablespoons '), ('cinnamon', '1  time(s) tablespoon '), ('brown sugar', '0.5 time(s) cup ')]}",fix_claims,numeric claims diverged (matched_by=exact)
List a low-sodium recipe under 209mg sodium.,"Easy Chocolate Mousse - 200.6mg sodium, 100.4 calories, 10 minutes prep time.",Easy Chocolate Mousse,True,exact,False,True,False,"{'calories_max': 209.0, 'sodium_max': 209.0}","{'calories': 100.4, 'sodium': 200.6, 'duration': 10.0}",[],"Easy Chocolate Mousse - 270 calories, 6.4g protein, 62mg sodium, ready in 12 minutes, serves 4. Ingredients: {'': [('chocolate chips, any will do (my favorite is dark chocolate)', '6  time(s) ounces '), ('eggs (room temperature)', '2  time(s) '), ('very hot coffee', '3  time(s) tablespoons '), ('use coffee creamer, 1/2 & 1/2, can milk)', '0.75 time(s) cup scalded milk (can '), ('cherry flavored liqueur (optional) or 1 -2 tablespoon mint liqueur, etc (optional)', '1 -2  time(s) 1 -2 tablespoon ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Recommend a high-fiber recipe with at least 18g fiber.,"Baked Beans - 22.0g dietary fiber, 111.1 calories, 47.9g total carbs.",Baked Beans,True,exact,False,True,False,{'fiber_min': 18.0},"{'calories': 111.1, 'fiber': 22.0}",[],"Baked Beans - 537 calories, 16.1g protein, 1588mg sodium, ready in 360 minutes, serves 4. Ingredients: {'': [('white beans', '3  time(s) cups '), ('salt pork or 1/4 lb $template2$', '0.25 time(s) lb '), ('medium onion', '1  time(s) '), ('pepper', '0.3333333333333333 time(s) teaspoon '), ('dry mustard', '0.5 time(s) teaspoon '), ('water', ' time(s) '), ('molasses', '0.3333333333333333 time(s) cup '), ('salt', '2  time(s) teaspoons ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Recommend a quick recipe that takes less than 35 minutes.,"Pumpkin Pancakes - Takes 25 minutes, 170.0 calories, serves 4.",Pumpkin Pancakes,True,exact,True,True,False,{'duration_max': 35.0},"{'calories': 170.0, 'duration': 25.0, 'serves': 4.0}",[],"Pumpkin Pancakes - 292 calories, 7.8g protein, 378mg sodium, ready in 15 minutes, serves 4. Ingredients: {'': [('all-purpose flour', '1 1/4 time(s) cups '), ('brown sugar', '2  time(s) tablespoons '), ('baking powder', '2  time(s) teaspoons '), ('salt', '0.25 time(s) teaspoon '), ('ground cinnamon', '0.75 time(s) teaspoon '), ('ground nutmeg', '0.25 time(s) teaspoon '), ('dash ground ginger', '1  time(s) '), ('dash ground cloves', '1  time(s) '), ('milk', '1  time(s) cup '), ('pumpkin puree', '0.5 time(s) cup '), ('large egg', '1  time(s) '), ('vegetable oil or 2 tablespoons melted butter', '2  time(s) tablespoons ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Find a high-protein recipe with at least 28g protein.,"Korean Beef Short Ribs - 32.2g protein, 460.3 calories, 22.0g fat, 0.2g carbs.",Korean Beef Short Ribs,True,substring,True,True,False,{'protein_min': 28.0},"{'calories': 460.3, 'protein': 32.2, 'carbs': 0.2, 'total_fat': 22.0}",[],"Slow-Cooked Korean Beef Short Ribs - 1213 calories, 45.3g protein, 857mg sodium, ready in 490 minutes, serves 6. Ingredients: {'': [('beef short ribs', '4 -4 1/2 time(s) lbs '), ('green onion, chopped (with tops)', '0.25 time(s) cup '), ('soy sauce (or tamari sauce)', '0.25 time(s) cup '), ('beef broth (or water)', '0.25 time(s) cup '), ('brown sugar', '1  time(s) tablespoon '), ('fresh ginger, minced', '2  time(s) teaspoons '), ('garlic, minced', '2  time(s) teaspoons '), ('black pepper', '0.5 time(s) teaspoon '), ('dark sesame oil', '2  time(s) teaspoons '), ('hot cooked rice (or linguine pasta)', ' time(s) '), ('sesame seeds, toasted', '2  time(s) teaspoons ')]}",fix_claims,numeric claims diverged (matched_by=substring)
Suggest a balanced meal with moderate calories and good protein.,"Raspberry Lemonade Cupcakes - 159.7 calories, 1.1g protein, 3.3g fat, 29.3g carbs.",Raspberry Lemonade Cupcakes,True,fuzzy,False,True,False,{'balanced': True},"{'calories': 159.7, 'protein': 1.1, 'carbs': 29.3, 'total_fat': 3.3}",[],"Raspberry-Lemonade Cupcakes - 444 calories, 2.9g protein, 197mg sodium, ready in 78 minutes, serves 18. Ingredients: {'': [('butter', '0.75 time(s) cup '), ('eggs', '3 time(s) '), ('all-purpose flour', '1 3/4 time(s) cups '), ('baking powder', '1  time(s) teaspoon '), ('baking soda', '0.25 time(s) teaspoon '), ('sugar', '1 1/2 time(s) cups '), ('finely shredded lemon peel', '2  time(s) teaspoons '), ('lemon juice', '2  time(s) tablespoons '), ('raspberry liqueur', '2  time(s) tablespoons '), ('buttermilk', '0.6666666666666666 time(s) cup '), ('red food coloring', ' time(s) ')], 'creamy raspberry frosting': [('butter, softened', '0.75 time(s) cup '), ('powdered sugar', '2  time(s) cups '), ('milk', '3  time(s) tablespoons '), ('raspberry liqueur', '3  time(s) tablespoons '), ('red food coloring', ' time(s) '), ('powdered sugar', '5 -5 1/2 time(s) cups ')]}",fix_claims,numeric claims diverged (matched_by=fuzzy)
Recommend a quick recipe that takes less than 70 minutes.,"Chopped Veggie Salad - Takes 60 minutes, 170.0 calories, serves 1.",Chopped Veggie Salad,True,exact,True,True,False,{'duration_max': 70.0},"{'calories': 170.0, 'duration': 60.0, 'serves': 1.0}",[],"Chopped Veggie Salad - 407 calories, 14.0g protein, 431mg sodium, ready in 30 minutes, serves 8. Ingredients: {'': [('large tomatoes', '3  time(s) '), ('medium onions, diced (1 1/2 cups)', '2  time(s) '), ('cheddar cheese, diced in 1/4 inch cubes', '8  time(s) ounces '), ('hearts of palm, drained', '1 time(s) (14 ounce) can '), ('jar marinated artichoke hearts, drained', '1 time(s) (16 ounce) '), ('shelled pistachios, plus', '0.5 time(s) cup '), ('chopped pistachios (to garnish)', '0.25 time(s) cup '), ('dried cranberries', '0.5 time(s) cup '), ('raisins', '0.5 time(s) cup '), ('balsamic vinegar', '0.25 time(s) cup '), ('olive oil', '0.5 time(s) cup '), ('salt and pepper, to taste', ' time(s) '), ('heads boston lettuce or 1 1/2 heads $template2$', '1 1/2 time(s) '), ('fresh crabmeat or 1 -3 cup canned lump crabmeat (optional)', '1 -3  time(s) cup ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Suggest a balanced meal with moderate calories and good protein.,"Sweet Potato Hash - 253.0 calories, 6.7g protein, 15.0g fat, 33.0g carbs.",Sweet Potato Hash,True,exact,False,True,False,{'balanced': True},"{'calories': 253.0, 'protein': 6.7, 'carbs': 33.0, 'total_fat': 15.0}",[],"Sweet Potato Hash - 202 calories, 4.6g protein, 130mg sodium, ready in 25 minutes, serves 2. Ingredients: {'': [('medium sweet potatoes, peeled (about 1 pound)', '2  time(s) '), ('olive oil', '1  time(s) tablespoon '), ('large shallots, chopped', '2  time(s) '), ('baby spinach, chopped', '1 time(s) (5 ounce) bag '), ('hot sauce, to taste (optional)', ' time(s) '), ('salt and pepper, to taste (optional)', ' time(s) ')]}",fix_claims,numeric claims diverged (matched_by=exact)
